Generation,NumConvLayers,ConvSize,NumFCLayers,FCSize,Accuracy,Fitness,Training time
9,1,73,1,159,0.6633999943733215,0.24818542775489044,470.9788382053375
9,4,121,4,25,0.7109000086784363,0.2569869609247233,583.8324680328369
9,5,121,1,194,0.7775999903678894,0.27996495179997266,599.0878159999847
9,5,121,2,207,0.7002999782562256,0.25153855062176145,608.22771525383
9,4,72,2,25,0.7513999938964844,0.30756067973281265,277.3927550315857
9,5,256,2,194,0.7674000263214111,0.23584194697071417,1794.2138266563416
9,3,202,2,227,0.7856000065803528,0.2550980150404917,1201.159346818924
10,5,49,1,25,0.732200026512146,0.3061827490720864,246.25347328186035
10,4,72,2,159,0.7257999777793884,0.29362334019811065,296.3973138332367
10,4,201,1,194,0.741599977016449,0.24066324671851008,1206.3800220489502
10,4,121,1,194,0.7932000160217285,0.28715839280208766,578.413827419281
10,4,202,2,227,0.7799999713897705,0.252467956075788,1228.8556644916534
10,5,121,4,25,0.7268000245094299,0.2589864369367209,640.2132523059845
10,4,121,2,227,0.733299970626831,0.265117286600258,583.3719160556793
10,4,72,2,25,0.7498000264167786,0.30722990587719845,275.75138998031616
10,3,256,2,194,0.7967000007629395,0.24814501396045388,1624.1369383335114
10,1,23,1,194,0.6679999828338623,0.30313863226783133,159.81302857398987
10,2,202,1,194,0.7742999792098999,0.2515348295735553,1197.5709309577942
10,4,121,2,227,0.7814000248908997,0.282836989874964,579.0581502914429
10,1,23,2,194,0.5918999910354614,0.26603897548303373,167.82704186439514
10,1,73,1,159,0.609000027179718,0.22812949161974694,467.2363245487213
10,4,121,1,194,0.7778000235557556,0.28244960222946147,567.2384860515594
10,4,72,2,25,0.7142000198364258,0.2931836255219663,272.9078691005707
10,5,49,1,159,0.6305999755859375,0.26391928437545187,245.11325573921204
10,1,73,1,159,0.6692000031471252,0.2505286727610317,468.97679328918457
10,4,121,4,227,0.7746000289916992,0.27878979851246993,600.3955898284912
10,4,212,1,194,0.8123999834060669,0.2614029577376706,1281.8742215633392
